ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,Label
7.61,-0.29,6.21,-0.09,0.16,0.06,2.36,-9.60,-3.52,0.05,0.03,0.03,benar
4.91,-0.77,8.33,-0.08,0.05,-0.03,5.53,-9.05,-0.91,0.10,-0.04,0.03,benar
8.15,-0.80,5.94,-0.03,0.05,-0.06,1.95,-8.49,-3.54,0.34,-0.30,0.07,benar
5.10,-0.72,8.52,-0.05,0.12,0.05,4.91,-8.87,-0.62,-0.15,-0.12,-0.05,benar
5.00,-0.75,8.54,-0.12,0.02,0.01,5.24,-8.29,-1.02,0.14,-0.04,0.01,benar
5.35,-0.58,8.20,-0.11,0.03,-0.01,5.62,-8.28,-0.96,0.07,-0.04,0.05,benar
7.64,-0.24,5.98,-0.03,-0.00,-0.00,2.56,-8.96,-2.95,0.09,-0.07,0.07,benar
6.89,-0.85,6.49,-0.04,0.06,-0.01,4.03,-8.88,-3.19,-0.00,-0.01,-0.01,benar
4.69,-0.76,8.31,-0.13,-0.03,-0.02,5.72,-8.13,-1.16,0.17,-0.08,0.02,benar
7.73,-0.43,6.39,-0.03,0.06,0.02,3.35,-9.56,-2.89,-0.20,-0.24,0.16,benar
8.89,-0.46,4.33,-0.09,0.07,0.04,3.96,-8.78,3.06,0.08,-0.04,-0.00,benar
8.33,-0.91,5.76,-0.15,0.03,-0.01,4.20,-8.11,2.42,-0.10,-0.04,0.04,benar
5.15,-0.56,8.38,-0.11,-0.01,0.01,5.53,-8.59,-0.55,-0.01,-0.04,0.05,benar
9.22,0.22,3.99,-0.08,0.01,0.01,2.63,-9.13,3.03,0.13,-0.07,0.03,benar
4.62,-0.65,7.46,-0.08,-0.02,0.06,5.50,-10.46,-1.52,-0.50,-0.14,-0.31,benar
5.55,-0.47,8.08,-0.11,0.08,-0.01,4.58,-9.44,-0.64,-0.07,-0.05,-0.03,benar
8.20,-0.23,6.30,-0.07,-0.03,-0.03,2.52,-9.11,-2.38,0.10,-0.09,0.10,benar
7.10,-0.65,6.65,-0.09,0.03,0.01,3.55,-9.15,-2.86,0.02,-0.11,0.03,benar
7.73,-0.57,5.42,-0.10,0.09,-0.00,1.93,-9.53,-3.34,-0.14,-0.02,-0.10,benar
8.50,-0.79,5.51,-0.07,0.09,0.00,4.61,-8.82,2.71,-0.04,-0.10,0.01,benar
5.44,-0.01,8.10,-0.08,0.03,-0.06,5.86,-7.85,-2.00,0.00,-0.03,0.01,benar
7.13,-0.10,6.91,-0.07,0.03,-0.00,3.04,-9.40,-1.63,-0.08,-0.14,0.02,benar
5.73,-0.46,7.99,-0.08,0.09,0.02,4.13,-9.03,-0.99,0.03,-0.14,-0.04,benar
4.43,0.64,8.41,-0.11,0.11,0.04,4.52,-9.06,-1.24,0.05,-0.07,0.09,benar
4.98,0.11,8.71,-0.12,0.03,-0.01,3.68,-9.44,-0.61,0.08,-0.07,-0.00,benar
6.17,-0.60,7.67,-0.01,0.06,0.03,3.90,-8.46,-3.47,0.05,-0.06,0.03,benar
4.96,0.08,8.09,-0.08,0.05,-0.02,3.32,-9.10,-0.81,0.05,-0.08,-0.02,benar
6.65,-1.05,6.72,-0.14,0.03,-0.05,3.57,-8.21,-3.30,0.07,-0.04,0.09,benar
9.01,-0.42,4.45,-0.08,0.07,-0.01,4.27,-8.41,2.50,0.00,0.00,0.01,benar
5.49,-0.34,8.23,-0.08,0.06,-0.01,4.66,-9.14,-0.95,0.05,-0.03,0.00,benar
8.10,-0.01,5.61,-0.05,0.03,0.01,2.52,-9.10,-2.78,-0.04,0.09,0.06,benar
8.32,-0.47,5.83,-0.09,0.04,0.01,3.09,-9.38,-2.30,-0.03,-0.12,-0.04,benar
4.90,-0.65,8.73,-0.11,0.03,0.01,5.44,-8.46,-1.04,0.07,-0.06,0.06,benar
9.27,0.09,3.86,-0.12,0.00,-0.00,2.15,-9.38,2.97,-0.01,-0.07,0.02,benar
4.29,-0.79,8.91,-0.10,0.05,-0.01,6.02,-8.55,-1.25,0.09,-0.02,0.03,benar
4.98,-0.51,8.21,-0.12,0.03,-0.02,5.13,-8.97,-0.70,-0.10,-0.10,0.04,benar
3.90,0.09,8.54,-0.15,0.14,0.16,6.71,-8.08,-0.42,0.24,-0.24,-0.12,benar
8.23,-0.17,5.44,-0.12,0.09,-0.02,3.06,-9.65,-1.93,0.01,-0.11,0.00,benar
4.16,-0.49,8.71,-0.08,0.07,0.01,5.49,-8.35,-1.67,-0.01,-0.00,-0.01,benar
8.02,-0.18,5.79,-0.07,0.04,0.00,2.92,-9.29,-2.61,0.01,-0.07,0.01,benar
8.12,-0.76,5.63,-0.11,0.02,-0.00,4.40,-8.89,3.02,0.07,-0.05,0.02,benar
7.95,-0.79,6.03,-0.11,0.15,0.01,2.17,-9.15,-3.62,-0.67,-0.12,-0.19,benar
5.41,0.55,8.19,-0.08,0.01,0.01,3.87,-9.41,-0.69,-0.08,-0.09,0.09,benar
5.65,-0.23,8.19,-0.10,0.08,-0.01,4.78,-9.44,-0.87,0.03,-0.12,0.01,benar
5.69,0.57,8.02,-0.10,0.08,0.04,5.23,-8.75,-1.25,0.05,-0.09,0.00,benar
9.21,-0.40,4.36,-0.03,0.03,-0.01,2.53,-9.05,2.58,-0.07,-0.09,0.06,benar
5.07,-0.08,7.96,-0.11,0.06,-0.01,3.51,-9.29,-0.34,0.11,-0.01,-0.00,benar
8.24,-0.45,4.41,-0.17,0.40,-0.01,3.70,-8.76,3.07,-0.00,-0.05,0.04,benar
8.98,-0.34,5.94,-0.10,0.01,-0.08,2.90,-9.58,-3.73,-0.02,-0.04,0.24,benar
8.77,0.20,6.04,-0.04,-0.03,-0.08,3.78,-7.92,-4.06,-0.75,-0.96,0.80,benar
5.39,0.41,7.88,-0.04,0.17,0.12,4.99,-8.78,-1.30,0.04,-0.21,-0.19,benar
5.33,0.39,8.29,-0.09,0.06,0.02,5.53,-8.20,-1.66,0.06,-0.06,-0.01,benar
4.72,-0.55,8.54,-0.13,-0.00,-0.02,4.98,-8.94,-0.65,0.11,-0.13,0.09,benar
5.70,-0.30,8.08,-0.09,0.08,-0.02,4.20,-9.27,-0.93,0.21,-0.08,-0.05,benar
8.39,-0.09,5.57,-0.01,0.05,0.04,2.39,-9.29,-3.49,0.25,-0.19,0.01,benar
9.03,-0.13,4.14,-0.14,0.40,-0.02,3.17,-8.99,2.82,0.05,-0.09,-0.03,benar
8.33,-0.27,5.76,-0.09,0.21,-0.01,3.77,-9.15,-3.66,-0.10,-0.15,-0.16,benar
7.91,0.19,5.97,-0.10,0.03,-0.01,2.80,-8.77,-3.98,0.02,-0.08,0.05,benar
3.92,-2.96,5.18,-0.33,-0.02,-0.06,-3.06,2.32,1.71,-0.21,0.34,0.36,benar
4.59,0.67,8.64,0.01,0.09,0.07,3.27,-8.68,-0.92,-0.09,-0.13,-0.11,benar
4.32,-0.63,8.87,-0.12,0.07,0.03,5.68,-8.61,-1.67,0.06,-0.02,0.01,benar
7.83,-0.05,6.18,-0.11,0.04,0.01,1.97,-9.53,-2.31,0.05,-0.04,0.09,benar
5.66,0.35,8.09,-0.11,0.09,-0.00,5.70,-8.05,-2.00,0.18,-0.09,-0.03,benar
7.16,-0.66,7.23,-0.07,0.01,0.00,3.98,-8.47,-3.70,0.12,-0.14,0.11,benar
4.42,-0.43,8.88,-0.05,0.08,0.01,5.72,-8.57,-1.22,0.22,-0.09,-0.02,benar
7.75,-0.23,5.67,-0.12,0.02,0.03,3.34,-9.25,-2.43,0.05,-0.16,-0.04,benar
7.95,-0.02,5.90,-0.05,0.06,-0.00,2.90,-9.06,-2.39,0.03,-0.09,-0.04,benar
8.28,-0.84,5.57,-0.13,0.02,-0.01,4.39,-8.50,2.63,0.14,-0.08,0.00,benar
7.95,-1.59,5.04,-0.10,0.43,0.18,3.17,-11.20,-3.22,-0.22,-0.00,-0.44,benar
7.68,-0.08,6.05,-0.09,-0.01,-0.05,2.48,-8.48,-3.87,0.02,-0.08,0.12,benar
6.61,-0.19,7.25,-0.09,0.03,0.05,2.96,-9.25,-1.78,0.00,-0.05,0.03,benar
8.94,-0.37,4.36,-0.09,0.04,0.00,3.45,-8.64,2.85,0.04,-0.13,0.00,benar
8.62,0.25,4.84,-0.03,0.17,-0.02,1.24,-10.69,-2.00,0.15,-0.15,-0.09,benar
8.17,-0.82,5.67,-0.11,0.03,-0.00,4.20,-8.57,2.41,-0.16,-0.13,0.03,benar
3.53,0.67,8.88,-0.14,0.26,-0.04,3.38,-9.33,0.00,0.04,0.12,-0.04,benar
6.32,0.41,7.53,-0.10,-0.01,-0.02,5.42,-8.20,-1.47,-0.02,-0.07,0.05,benar
5.50,0.62,8.10,-0.11,0.08,-0.01,5.15,-8.64,-1.19,0.02,-0.07,0.01,benar
5.58,-0.14,8.79,-0.12,-0.06,0.05,4.20,-9.38,-0.82,0.07,-0.03,0.06,benar
5.73,0.45,7.88,-0.07,0.06,0.05,4.64,-9.03,-0.92,0.09,-0.08,-0.02,benar
7.51,0.47,6.13,-0.23,0.02,-0.08,2.27,-9.23,-2.13,0.16,-0.01,0.03,benar
5.70,-0.19,7.70,-0.12,0.02,-0.03,4.57,-9.19,-0.98,0.18,-0.02,-0.00,benar
8.32,-0.67,5.57,-0.09,0.04,-0.00,4.48,-8.36,2.77,-0.06,-0.14,0.04,benar
5.03,-0.18,8.43,-0.13,0.04,0.00,3.73,-8.99,-0.03,0.01,-0.00,0.05,benar
4.20,0.20,8.81,-0.12,0.08,-0.00,4.57,-8.86,-0.88,0.03,-0.09,-0.00,benar
4.77,-0.38,8.61,-0.07,0.05,0.01,5.40,-8.87,-0.72,0.05,-0.10,0.00,benar
5.28,0.30,8.03,-0.10,0.03,-0.03,5.15,-8.46,-1.04,0.03,-0.08,-0.03,benar
6.97,-0.47,7.21,-0.08,0.15,0.03,3.25,-9.55,-1.44,0.04,-0.07,-0.03,benar
5.70,-0.27,8.09,-0.08,0.08,0.01,4.74,-8.91,-1.53,-0.05,-0.04,-0.01,benar
5.10,0.31,8.61,-0.06,0.09,-0.04,5.35,-8.25,-1.54,0.09,-0.10,0.09,benar
5.16,-1.12,8.10,-0.12,0.01,0.01,4.87,-7.98,-0.94,0.18,-0.07,-0.00,benar
5.17,-0.12,8.25,-0.03,0.09,-0.04,3.79,-9.26,-0.31,-0.00,-0.04,-0.03,benar
5.73,0.54,8.04,-0.14,0.06,-0.03,5.12,-8.31,-1.53,-0.08,-0.05,0.02,benar
4.32,-0.58,8.95,-0.08,0.03,-0.01,5.70,-8.35,-1.35,0.10,-0.01,0.04,benar
4.86,0.22,8.48,-0.14,0.09,-0.02,3.90,-8.98,-1.03,0.08,-0.02,-0.03,benar
4.19,0.19,8.87,-0.11,0.05,0.01,4.12,-9.02,-0.83,-0.01,-0.06,0.00,benar
7.33,-0.85,6.53,-0.06,0.06,0.08,1.56,-9.39,-2.65,-0.12,-0.15,-0.01,benar
5.44,0.26,7.86,-0.11,0.04,-0.02,5.97,-8.45,-1.88,0.00,-0.03,-0.02,benar
8.62,-0.42,4.47,-0.05,0.22,-0.00,3.55,-8.75,2.27,0.05,-0.13,-0.06,benar
8.19,-0.75,4.67,-0.11,0.19,0.02,2.22,-10.47,-2.50,-0.31,0.00,-0.04,benar
5.45,0.08,8.82,-0.17,-0.06,0.05,2.98,-8.93,-0.73,-0.06,-0.06,0.03,benar
8.89,-0.20,4.36,-0.07,0.10,0.02,4.32,-7.47,2.50,0.08,-0.10,-0.08,benar
9.00,-0.26,4.58,-0.12,0.05,-0.02,3.95,-8.81,2.85,0.09,-0.04,0.03,benar
7.64,-0.15,6.01,-0.07,0.06,-0.00,2.98,-9.58,-2.90,0.05,-0.14,0.17,benar
4.40,-0.40,8.56,-0.09,0.01,0.02,5.34,-7.67,-1.16,0.16,-0.08,-0.04,benar
6.85,-0.74,7.08,-0.09,0.04,0.02,3.88,-8.87,-2.66,0.04,-0.15,-0.02,benar
4.90,0.13,8.35,-0.11,0.10,0.02,3.68,-9.20,-0.79,-0.09,-0.12,-0.02,benar
4.50,-0.56,8.59,-0.06,0.02,0.02,6.20,-8.49,-1.16,0.04,-0.04,0.06,benar
5.50,-0.12,8.11,-0.06,0.08,0.00,4.50,-8.95,-1.31,-0.09,-0.09,-0.00,benar
7.97,-0.27,5.71,-0.08,0.00,-0.01,2.59,-8.68,-3.13,0.11,-0.04,0.01,benar
6.26,0.51,7.41,-0.02,0.16,0.00,5.52,-8.21,-1.47,0.09,-0.13,-0.06,benar
4.43,0.43,8.46,-0.05,0.06,0.02,4.50,-8.80,-1.22,0.08,-0.08,0.02,benar
6.95,-0.73,6.96,-0.10,0.03,0.02,4.01,-8.76,-3.18,0.11,-0.13,0.01,benar
5.34,-0.10,8.09,-0.14,-0.01,-0.00,3.78,-8.85,-0.54,-0.06,0.06,0.11,benar
5.35,-0.38,8.32,-0.09,0.02,-0.02,4.74,-8.37,-0.91,0.28,-0.01,0.03,benar
8.07,-0.13,5.86,-0.14,-0.01,0.06,3.70,-9.60,-2.59,0.02,-0.18,-0.01,benar
5.91,-0.47,7.99,-0.07,0.08,-0.03,4.78,-8.98,-0.92,0.14,-0.02,0.05,benar
8.23,-0.93,5.52,-0.09,0.05,0.00,4.48,-8.63,2.70,0.01,-0.09,-0.00,benar
5.70,0.40,8.09,-0.15,0.05,-0.14,4.98,-8.43,-1.08,-0.13,0.00,-0.01,benar
5.10,-0.77,8.70,-0.10,0.01,0.01,5.53,-8.36,-1.14,0.02,-0.13,0.03,benar
8.46,-0.51,5.56,-0.10,0.03,0.01,2.43,-9.14,-3.31,-0.06,0.00,0.07,benar
8.13,0.06,5.78,-0.08,0.05,0.00,2.98,-9.25,-2.50,0.02,-0.08,-0.00,benar
4.99,-0.44,9.03,-0.13,-0.02,-0.04,5.72,-8.49,-0.80,0.09,-0.23,0.12,benar
4.13,-0.67,8.81,-0.09,0.00,-0.01,5.69,-8.26,-1.26,0.06,-0.03,0.04,benar
6.21,-0.15,7.70,-0.13,0.11,0.03,4.39,-8.80,-1.14,0.02,-0.04,-0.06,benar
8.15,-0.19,5.92,-0.18,0.07,0.01,3.08,-9.31,-2.60,-0.07,-0.16,0.02,benar
8.30,-0.26,5.75,-0.08,0.04,0.01,2.44,-9.28,-3.58,-0.04,-0.08,0.06,benar
7.43,-0.46,6.21,-0.09,0.21,0.06,1.74,-9.70,-3.90,-0.26,-0.17,-0.03,benar
6.46,-0.34,7.46,-0.09,0.10,0.01,3.39,-9.21,-1.76,0.02,-0.07,-0.02,benar
5.40,0.13,7.82,-0.09,0.05,0.06,5.60,-8.37,-1.85,0.09,-0.17,-0.02,benar
5.69,-0.15,8.06,-0.08,0.11,0.00,5.75,-7.90,-1.80,0.08,-0.09,-0.01,benar
8.98,-0.49,4.58,-0.14,-0.01,-0.06,3.44,-9.05,3.17,0.08,-0.03,0.03,benar
8.32,-0.55,5.96,-0.10,0.03,0.01,2.71,-9.00,-3.02,0.16,-0.03,0.02,benar
8.85,-0.09,4.76,-0.10,0.06,-0.01,3.63,-8.91,2.95,0.15,0.14,-0.01,benar
5.47,-0.23,8.24,-0.09,0.10,-0.03,4.55,-9.21,-1.20,0.07,-0.06,0.06,benar
5.62,0.93,8.06,-0.05,0.09,-0.01,5.60,-8.15,-1.71,0.02,-0.06,0.05,benar
5.51,0.37,8.15,-0.10,0.08,0.01,5.42,-8.22,-1.76,0.06,-0.12,-0.04,benar
5.43,0.56,8.20,-0.08,0.08,0.01,5.18,-8.54,-1.35,-0.02,-0.15,-0.00,benar
4.35,-0.67,8.61,-0.09,0.04,0.00,5.63,-8.07,-1.59,0.34,-0.06,0.01,benar
4.59,0.51,8.78,-0.10,0.02,0.00,4.18,-8.78,-1.06,-0.17,-0.02,0.07,benar
4.91,-0.11,8.70,-0.11,0.01,0.01,3.33,-9.15,-0.48,0.05,-0.13,0.02,benar
5.62,-0.10,8.04,-0.09,-0.02,0.02,4.68,-8.19,-1.11,0.19,-0.06,0.00,benar
4.98,0.32,8.67,-0.09,0.00,-0.06,4.30,-8.88,-1.09,-0.03,-0.04,0.09,benar
9.37,0.12,4.11,-0.10,0.13,0.01,2.43,-8.97,2.04,-0.04,-0.07,-0.03,benar
5.72,0.40,8.11,-0.12,0.09,0.02,5.80,-8.17,-1.74,0.20,-0.09,0.01,benar
8.71,0.13,4.19,-0.17,0.33,-0.05,3.04,-8.83,2.85,0.02,0.10,-0.05,benar
5.32,-0.14,8.42,-0.18,0.06,0.06,3.18,-9.33,-0.43,0.03,-0.06,0.04,benar
8.16,-0.43,6.43,-0.09,0.04,-0.02,3.14,-9.46,-2.87,0.07,-0.02,0.05,benar
7.18,-0.82,6.90,-0.05,0.06,-0.01,3.80,-8.82,-3.28,0.08,-0.07,0.03,benar
4.94,-0.59,8.55,-0.13,0.06,-0.03,5.30,-8.82,-1.27,-0.18,-0.07,0.06,benar
7.69,-0.55,6.29,-0.08,-0.03,-0.01,2.45,-8.87,-3.90,0.17,-0.07,0.06,benar
9.32,-0.26,3.98,0.04,0.00,0.02,1.63,-9.15,1.98,0.19,-0.08,0.11,benar
7.05,-0.68,7.01,-0.15,0.11,-0.03,4.04,-8.43,-3.07,0.01,-0.01,0.02,benar
9.30,0.13,4.25,-0.14,0.08,0.00,2.27,-8.76,2.88,-0.00,-0.14,0.02,benar
7.92,-0.25,6.16,-0.08,-0.04,-0.01,2.40,-9.36,-3.97,0.05,-0.07,0.05,benar
5.96,-0.74,7.74,-0.11,0.15,-0.02,3.68,-9.25,-0.85,-0.04,-0.00,-0.08,benar
5.64,0.35,8.19,-0.03,0.06,0.04,5.22,-8.70,-1.47,0.05,-0.04,-0.06,benar
4.59,0.06,8.76,-0.09,0.08,-0.07,4.40,-9.20,-0.89,0.08,0.04,0.05,benar
4.85,0.39,8.60,-0.14,0.02,-0.02,3.83,-8.93,-0.95,-0.02,-0.02,0.08,benar
5.56,-0.07,7.98,-0.16,0.09,0.01,6.03,-8.16,-1.83,0.16,-0.11,-0.02,benar
4.96,-0.10,8.50,-0.12,0.06,-0.05,5.76,-8.72,-0.58,0.01,-0.05,0.06,benar
7.73,-0.60,6.71,-0.09,0.17,0.02,3.90,-8.83,-3.72,0.04,-0.02,-0.09,benar
9.26,-0.01,4.12,-0.15,0.02,-0.00,2.49,-8.69,2.61,-0.01,-0.05,0.03,benar
7.08,-0.95,6.94,-0.04,0.05,0.02,3.86,-8.70,-3.17,0.10,-0.12,-0.01,benar
4.35,-0.33,7.97,-0.13,0.03,-0.00,5.23,-8.15,-1.06,0.08,-0.09,0.01,benar
8.95,0.05,3.73,-0.15,0.13,0.02,2.11,-8.89,2.18,0.14,-0.04,-0.02,benar
4.39,-0.83,8.45,-0.07,0.05,0.02,5.39,-7.97,-1.32,-0.02,-0.09,-0.07,benar
9.30,-0.13,4.09,-0.03,0.16,0.02,3.24,-8.96,2.60,0.09,-0.04,0.00,benar
9.05,0.05,4.07,-0.13,0.01,-0.03,2.04,-9.03,2.58,0.01,-0.11,0.05,benar
4.68,0.40,8.65,-0.07,0.03,-0.03,4.01,-9.00,-0.60,0.03,-0.11,0.04,benar
6.81,-0.45,7.13,-0.10,0.02,0.04,2.93,-9.18,-1.69,0.10,-0.03,0.03,benar
7.28,-0.13,6.43,-0.15,-0.01,-0.04,2.86,-9.05,-2.28,-0.08,-0.20,-0.01,benar
5.67,0.36,8.12,-0.10,0.08,0.01,3.36,-8.81,-0.82,0.07,0.01,0.05,benar
7.35,-0.10,6.81,-0.13,0.03,-0.04,2.73,-9.35,-2.25,-0.01,-0.04,0.03,benar
4.31,0.09,8.97,-0.10,0.06,-0.01,4.39,-9.11,-0.69,0.02,-0.09,-0.00,benar
5.01,0.57,8.74,-0.00,0.07,-0.01,3.75,-9.54,-1.01,0.06,-0.02,0.05,benar
6.96,-0.48,7.30,-0.10,0.10,0.01,3.21,-9.49,-1.93,-0.07,-0.06,-0.02,benar
5.94,-0.80,7.55,-0.01,0.14,-0.05,4.56,-7.97,-3.25,0.08,-0.11,0.02,benar
4.28,0.05,8.87,-0.06,0.08,-0.01,4.12,-8.89,-0.76,-0.02,-0.07,0.01,benar
5.49,-0.38,8.07,-0.07,0.07,-0.01,4.58,-8.47,-1.24,0.13,-0.10,-0.04,benar
5.64,0.50,7.94,-0.20,-0.02,-0.19,4.99,-8.51,-1.13,-0.01,0.10,0.06,benar
4.31,-0.91,8.93,-0.10,0.03,0.02,5.69,-8.88,-1.19,0.17,-0.04,0.01,benar
4.69,-0.47,8.67,-0.13,-0.03,0.01,5.09,-8.50,-1.00,0.01,-0.11,0.02,benar
9.40,-0.16,4.37,-0.05,0.04,0.02,2.50,-9.18,3.22,-0.12,-0.03,0.03,benar
4.16,0.17,8.67,-0.20,-0.05,0.09,4.91,-8.69,-1.54,-0.15,-0.12,-0.00,benar
5.63,-0.35,7.98,-0.09,0.03,-0.01,4.69,-8.79,-1.12,-0.18,-0.10,0.01,benar
4.89,-2.59,4.50,-0.22,0.44,-0.03,5.91,-12.91,-1.59,-0.19,0.36,-0.26,benar
5.57,-0.25,8.30,-0.13,0.05,-0.01,4.14,-9.45,-0.53,0.11,-0.06,0.02,benar
4.80,-0.16,9.03,-0.13,-0.09,-0.03,5.23,-7.58,-1.94,0.12,0.10,0.08,benar
9.27,0.29,3.56,-0.12,0.16,0.02,2.00,-9.20,2.43,0.15,-0.09,-0.04,benar
8.41,-0.74,5.68,-0.10,0.00,-0.00,4.04,-8.04,2.52,-0.11,-0.12,-0.00,benar
8.65,-0.11,4.60,-0.09,0.04,0.01,3.45,-8.56,2.61,0.10,-0.13,-0.00,benar
6.95,-0.64,7.06,-0.09,0.02,-0.02,3.24,-9.01,-2.69,0.01,-0.04,0.06,benar
6.62,-0.84,7.83,-0.06,0.01,0.01,4.25,-8.58,-3.26,0.03,-0.07,0.02,benar
4.52,1.48,7.31,-0.15,0.34,-0.01,4.04,-9.29,-0.97,-0.12,-0.04,0.09,benar
4.86,0.22,8.40,-0.11,0.03,0.03,4.34,-9.04,-1.02,-0.02,-0.13,-0.03,benar
6.77,-0.39,6.89,-0.09,0.04,-0.03,2.79,-9.43,-1.51,-0.05,-0.08,0.03,benar
8.02,-0.42,6.47,-0.11,-0.04,-0.00,2.28,-9.93,-1.80,0.06,0.01,0.20,benar
6.19,-0.73,7.67,-0.09,0.06,-0.01,4.60,-8.57,-3.03,-0.02,-0.10,0.01,benar
4.78,-0.00,8.51,-0.08,0.05,-0.03,3.92,-8.99,-1.08,0.02,-0.09,0.02,benar
7.01,-1.05,6.85,-0.07,0.08,-0.02,3.51,-8.67,-3.12,0.13,-0.20,-0.10,benar
8.61,-0.15,5.09,-0.05,0.01,-0.03,3.71,-8.27,2.90,0.03,-0.10,0.08,benar
4.10,0.07,8.85,-0.06,0.05,-0.01,4.60,-8.66,-0.74,0.01,-0.06,-0.01,benar
8.14,-0.12,5.57,-0.09,0.06,0.00,2.38,-8.86,-3.92,0.01,-0.09,0.02,benar
8.86,-0.14,6.05,-0.11,0.24,0.05,1.73,-8.68,-2.79,0.17,0.01,0.06,benar
8.07,-0.97,5.47,-0.12,0.01,-0.01,4.26,-8.32,2.77,-0.15,-0.10,0.04,benar
5.25,-0.45,8.13,-0.05,0.05,-0.02,4.70,-8.36,-1.32,-0.03,-0.06,0.01,benar
6.95,0.04,6.67,-0.05,0.07,0.03,2.74,-9.64,-2.53,-0.13,-0.22,-0.16,benar
9.10,0.18,3.75,-0.14,-0.06,-0.01,2.41,-9.18,3.27,0.05,-0.04,0.06,benar
8.81,-0.40,4.60,-0.08,0.01,-0.00,3.40,-8.68,2.41,-0.08,-0.06,0.05,benar
7.55,0.07,5.98,-0.06,0.06,0.05,2.12,-10.05,-1.73,0.06,-0.06,0.00,benar
10.26,-0.59,-0.48,-0.08,0.09,-0.01,9.84,-0.07,-0.55,0.04,-0.07,0.04,benar
8.70,-0.03,4.94,-0.08,0.04,-0.03,3.79,-8.70,3.20,0.11,-0.05,0.02,benar
5.74,-0.33,7.98,-0.12,0.03,0.01,4.70,-9.32,-0.96,0.14,-0.04,0.02,benar
7.99,-0.01,6.00,-0.13,-0.08,-0.00,2.08,-7.81,-1.87,0.41,-0.10,0.15,benar
6.35,0.47,7.49,-0.06,0.03,-0.02,5.77,-8.13,-1.25,0.06,-0.06,0.02,benar
9.16,-0.55,4.90,-0.10,-0.03,-0.01,3.33,-9.15,2.77,0.06,0.19,0.08,benar
4.70,0.24,8.58,-0.08,0.07,0.04,3.94,-9.13,-1.15,0.02,-0.14,-0.05,benar
5.39,0.08,8.20,-0.11,0.06,-0.04,5.56,-8.11,-2.12,-0.01,-0.05,-0.03,benar
10.18,-0.49,-0.68,-0.04,0.08,-0.03,9.93,-0.13,-0.80,0.03,-0.07,0.02,benar
5.03,0.17,8.54,-0.09,0.05,0.00,3.80,-9.30,-0.42,-0.03,-0.09,0.01,benar
5.84,-0.50,7.92,-0.10,0.02,0.01,4.27,-8.59,-3.14,-0.03,-0.12,-0.01,benar
8.19,-0.46,6.15,-0.15,0.11,0.03,2.18,-9.31,-3.70,0.08,-0.04,0.05,benar
6.61,-0.70,6.86,-0.04,0.07,0.01,2.61,-8.58,-3.40,0.09,0.06,0.03,benar
8.59,-0.17,4.52,-0.06,0.04,-0.01,3.62,-8.61,2.92,-0.10,-0.03,0.06,benar
8.09,-0.25,5.79,-0.09,0.02,-0.00,2.57,-9.09,-3.53,0.10,-0.02,0.05,benar
7.95,0.24,6.02,-0.06,0.07,0.02,2.55,-9.16,-3.48,0.02,-0.05,0.01,benar
4.42,0.10,8.71,-0.08,0.08,0.00,4.26,-9.03,-0.71,0.08,-0.09,-0.02,benar
7.11,-0.50,7.18,-0.09,0.08,-0.02,2.93,-9.59,-2.03,-0.08,-0.13,-0.02,benar
4.96,0.15,8.97,-0.13,-0.05,-0.01,3.37,-9.57,-0.53,-0.03,-0.06,0.07,benar
7.04,-0.74,6.93,-0.08,0.04,-0.01,3.08,-9.12,-3.01,0.00,-0.11,-0.01,benar
4.51,0.22,8.37,-0.06,0.08,-0.00,3.71,-9.02,-1.04,-0.00,-0.08,-0.01,benar
8.08,-0.32,5.47,-0.14,0.25,0.00,0.95,-9.22,-2.61,0.26,0.02,-0.07,benar
4.62,-0.45,8.58,-0.15,0.01,-0.03,5.39,-8.03,-1.20,-0.05,-0.09,-0.00,benar
4.90,0.51,8.82,-0.08,0.17,0.03,5.08,-7.82,-2.06,0.13,0.04,-0.02,benar
4.45,0.08,8.92,-0.19,0.03,0.14,5.55,-8.04,-0.98,-0.27,0.02,-0.02,benar
8.02,-0.02,5.83,-0.13,0.03,-0.01,2.91,-9.46,-2.74,0.06,-0.07,-0.01,benar
4.83,-0.69,8.48,-0.08,0.01,-0.03,5.25,-8.29,-1.33,-0.06,-0.03,0.02,benar
8.49,0.12,5.57,-0.08,0.06,-0.00,2.83,-9.40,-2.87,0.06,-0.01,0.06,benar
4.48,-0.57,8.86,-0.27,-0.08,0.05,5.98,-7.73,-0.80,0.11,-0.21,0.02,benar
9.53,-0.04,3.87,-0.12,0.14,0.03,3.80,-8.81,3.02,0.05,0.01,-0.03,benar
9.16,-0.34,4.59,-0.09,-0.03,-0.02,4.45,-8.88,2.60,0.10,-0.11,0.06,benar
5.66,0.49,8.19,-0.15,0.05,0.01,5.92,-8.22,-1.46,0.08,-0.06,-0.01,benar
4.76,-0.14,8.31,-0.07,0.12,0.00,3.64,-8.82,-0.95,0.03,-0.13,-0.06,benar
4.62,0.51,8.93,-0.13,-0.09,0.00,3.73,-8.55,-0.94,-0.01,0.08,0.10,benar
8.41,-0.54,5.28,-0.04,0.11,-0.00,2.75,-9.62,-2.66,0.12,-0.17,-0.12,benar
